0,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név
23,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,3,3,,TT-MBNX363,Alkalmazott statisztika,Kötelező,,,,,2,3,,TE-MBNX363E,Alkalmazott statisztika,Kötelező,,,MBNX363E,Alkalmazott statisztika,2,3,,MBNX363E,Alkalmazott statisztika,Kötelező,Kollokvium Elégséges (2) 2022.12.12.,1,,,,,,,,,,,,
24,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,5,1,,TT-MBNXK111,Diszkrét matematika I.,Kötelező,,,,,2,1,,TE-MBNXK111E,Diszkrét matematika I.,Kötelező,,,MBNXK111E,Diszkrét matematika I.,2,1,,MBNXK111E,Diszkrét matematika I.,Kötelező,Kollokvium Közepes (3) 2020.12.30.,1,,,,,,,,,,,,
25,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,,,TT-IBK507,Bonyolultságelmélet,Kötelező,,,,,2,5,,TE-IBK507E,Bonyolultságelmélet,Kötelező,,,IBK507E,Bonyolultságelmélet,2,5,,IBK507E,Bonyolultságelmélet,Kötelezően választható,,2,,,,,,,,,,,,
26,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,4,,TT-IBK403,Formális nyelvek,Kötelező,,,,,2,4,,TE-IBK403E,Formális nyelvek,Kötelező,,,IBK403E-00001,Formális nyelvek (tehetséggondozó program),2,4,,IBK403E-00001,Formális nyelvek (tehetséggondozó program),Kötelezően választható,,,,,,,,,,,,,,
27,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,4,,TT-IBK403,Formális nyelvek,Kötelező,,,,,2,4,,TE-IBK403E,Formális nyelvek,Kötelező,,,IBK403E,Formális nyelvek,2,4,,IBK403E,Formális nyelvek,Kötelezően választható,Kollokvium Elégséges (2) 2022.06.13.,1,,,,,,,,,,,,
28,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,2,,TT-IBK604,Logika és informatikai alkalmazásai,Kötelező,,,,,2,2,,TE-IBK604E,Logika és informatikai alkalmazásai,Kötelező,,,IBK604E-00001,Logika és informatikai alkalmazásai (tehetséggondozó program),2,2,,IBK604E-00001,Logika és informatikai alkalmazásai (tehetséggondozó program),Kötelezően választható,,,,,,,,,,,,,,
29,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,4,,TT-IBK403,Formális nyelvek,Kötelező,,,,,2,4,,TE-IBK403G,Formális nyelvek,Kötelező,,,IBK403G,Formális nyelvek gyakorlat,2,4,,IBK403G,Formális nyelvek gyakorlat,Kötelezően választható,Gyakorlati jegy Elégséges (2) 2022.05.09.,1,,,,,,,,,,,,
30,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,2,,TT-IBK604,Logika és informatikai alkalmazásai,Kötelező,,,,,2,2,,TE-IBK604G,Logika és informatikai alkalmazásai,Kötelező,,,IBK604G-00001,Logika és informatikai alkalmazásai gyakorlat (tehetséggondozó program),2,2,,IBK604G-00001,Logika és informatikai alkalmazásai gyakorlat (tehetséggondozó program),Kötelezően választható,,,,,,,,,,,,,,
31,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,5,,TT-IBK154,Mesterséges intelligencia I.,Kötelező,,,,,2,5,,TE-IBK154E,Mesterséges intelligencia I.,Kötelező,,,IBK154E-00001,Mesterséges intelligencia I. (tehetséggondozó program),2,5,,IBK154E-00001,Mesterséges intelligencia I. (tehetséggondozó program),Kötelezően választható,,,,,,,,,,,,,,
32,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,5,1,,TT-MBNXK311,Kalkulus I.,Kötelező,,,,,3,1,,TE-MBNXK311G,Kalkulus I.,Kötelező,,,MBNXK311G,Kalkulus I.,3,1,,MBNXK311G,Kalkulus I.,Kötelező,Gyakorlati jegy Közepes (3) 2020.12.09.,1,,,,,,,,,,,,
