0,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név
600,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-INF,Ajánlott differenciált informatikai ismeretek,Kötelező,,,IB0076G,Adatelemzés a szociális médiában,3,4,,IB0076G,Adatelemzés a szociális médiában,Kötelezően választható,,,,,,,,,,,,,,,,,,,,,,,,
601,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,IB001miE-00004,Autóiparban alkalmazott mikrovezérlők,2,,,IB001miE-00004,Autóiparban alkalmazott mikrovezérlők,Kötelezően választható,,,,,,,,,,,,,,,,,,,,,,,,
602,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-TEGO,Tehetséggondozó technikai kurzusok,Kötelezően választható,,,IBT402G,Tehetséggondozás: Operációs rendszerek,1,2,,IBT402G,Tehetséggondozás: Operációs rendszerek,Kötelezően választható,,,,,,,,,,,,,,,,,,,,,,,,
603,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,IB092E,Konvolúciós neurális hálók a képfeldolgozásban,3,,,IB092E,Konvolúciós neurális hálók a képfeldolgozásban,Kötelezően választható,,,,,,,,,,,,,,,,,,,,,,,,
604,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-TEGO,Tehetséggondozó technikai kurzusok,Kötelezően választható,,,IBT507G,Tehetséggondozás: Bonyolultságelmélet,1,5,,IBT507G,Tehetséggondozás: Bonyolultságelmélet,Kötelezően választható,,,,,,,,,,,,,,,,,,,,,,,,
605,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-MATSZT,Ajánlott differenciált matematikai és számítástudományi ismeretek,Kötelező,,,IB304ptiG,Algoritmusok és adatszerkezetek a gyakorlatban,2,,,IB304ptiG,Algoritmusok és adatszerkezetek a gyakorlatban,Kötelezően választható,,,,,,,,,,,,,,,,,,,,,,,,
606,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-TEGO,Tehetséggondozó technikai kurzusok,Kötelezően választható,,,IBT042G,Tehetséggondozás: Digitális képfeldolgozás (tehetséggondozó program),1,6,,IBT042G,Tehetséggondozás: Digitális képfeldolgozás (tehetséggondozó program),Kötelezően választható,,,,,,,,,,,,,,,,,,,,,,,,
607,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-TEGO,Tehetséggondozó technikai kurzusok,Kötelezően választható,,,IBT007E,Nyelv- és beszédfeldolgozás (tehetséggondozó program),3,,,IBT007E,Nyelv- és beszédfeldolgozás (tehetséggondozó program),Kötelezően választható,,,,,,,,,,,,,,,,,,,,,,,,
608,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-GSZV00,Földrajz SZV,Nincs megadva,,,,,2,,,TE-GSZV00,Földrajz SZV,Szabadon választható,,,GSZV00-00050,ASV „Vulcano 23” vulkanológiai (és művészettörténeti) tanulmányút,2,,,GSZV00-00050,ASV „Vulcano 23” vulkanológiai (és művészettörténeti) tanulmányút,Szabadon választható,,,,,,,,,,,,,,
609,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-BSZV00,Biológia  SZV,Nincs megadva,,,,,2,,,TE-BSZV00,Biológia  SZV,Szabadon választható,,,BSZV00-00248,Biostatisztika haladóknak,2,,,BSZV00-00248,Biostatisztika haladóknak,Szabadon választható,,,,,,,,,,,,,,
610,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-KSZV00,Kémia SZV,Nincs megadva,,,,,2,,,TE-KSZV00,Kémia SZV,Szabadon választható,,,KSZV00-00067,Kémiai számítások 2.,2,,,KSZV00-00067,Kémiai számítások 2.,Szabadon választható,,,,,,,,,,,,,,
611,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-GSZV00,Földrajz SZV,Nincs megadva,,,,,2,,,TE-GSZV00,Földrajz SZV,Szabadon választható,,,GSZV00-00136,TEF Választott (KÖRNYEZETKUTATÓ szakirány) terepgyakorlat 2.,2,,,GSZV00-00136,TEF Választott (KÖRNYEZETKUTATÓ szakirány) terepgyakorlat 2.,Szabadon választható,,,,,,,,,,,,,,
612,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-BSZV00,Biológia  SZV,Nincs megadva,,,,,2,,,TE-BSZV00,Biológia  SZV,Szabadon választható,,,BSZV00-00346,Biológia az egyetemen és azon túl 2.,2,,,BSZV00-00346,Biológia az egyetemen és azon túl 2.,Szabadon választható,,,,,,,,,,,,,,
613,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-MSZV00,Matematika SZV,Nincs megadva,,,,,2,,,TE-MSZV00,Matematika  SZV,Szabadon választható,,,MSZV00-00117,A demonstrátori munka módszerei II.,2,,,MSZV00-00117,A demonstrátori munka módszerei II.,Szabadon választható,,,,,,,,,,,,,,
614,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-BSZV00,Biológia  SZV,Nincs megadva,,,,,2,,,TE-BSZV00,Biológia  SZV,Szabadon választható,,,BSZV00-00067,Biotechnológia üzleti szemmel I.,2,,,BSZV00-00067,Biotechnológia üzleti szemmel I.,Szabadon választható,,,,,,,,,,,,,,
615,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-XN0140,Lektorátusi nyelvórák TTIK szaknyelv kredites,Nincs megadva,,,,,2,,,TE-XN0141,Lektorátusi nyelvórák TTIK szaknyelv kredites,Szabadon választható,,,XN0141-00085,Angol bevezetés a biológia szaknyelvbe,2,,,XN0141-00085,Angol bevezetés a biológia szaknyelvbe,Szabadon választható,,,,,,,,,,,,,,
616,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-XN0140,Lektorátusi nyelvórák TTIK szaknyelv kredites,Nincs megadva,,,,,2,,,TE-XN0141,Lektorátusi nyelvórák TTIK szaknyelv kredites,Szabadon választható,,,XN0141-00036,Német idegenforgalmi szaknyelv 2. szint 1x2,2,,,XN0141-00036,Német idegenforgalmi szaknyelv 2. szint 1x2,Szabadon választható,,,,,,,,,,,,,,
617,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-FSZV00,Fizika SZV,Nincs megadva,,,,,2,,,TE-FSZV00,Fizika SZV,Szabadon választható,,,FSZV00-00203,Elektronika 1.,2,,,FSZV00-00203,Elektronika 1.,Szabadon választható,,,,,,,,,,,,,,
618,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-BSZV00,Biológia  SZV,Nincs megadva,,,,,2,,,TE-BSZV00,Biológia  SZV,Szabadon választható,,,BSZV00-00070,Neuronális és gliális plaszticitás,2,,,BSZV00-00070,Neuronális és gliális plaszticitás,Szabadon választható,,,,,,,,,,,,,,
619,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-BSZV00,Biológia  SZV,Nincs megadva,,,,,2,,,TE-BSZV00,Biológia  SZV,Szabadon választható,,,BSZV00-00086,Cyanobacteria in science and biotechnology,2,,,BSZV00-00086,Cyanobacteria in science and biotechnology,Szabadon választható,,,,,,,,,,,,,,
620,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-GSZV00,Földrajz SZV,Nincs megadva,,,,,2,,,TE-GSZV00,Földrajz SZV,Szabadon választható,,,GSZV00-00346,Erdődinamikai vizsgálatok az Aggteleki-karszton,2,,,GSZV00-00346,Erdődinamikai vizsgálatok az Aggteleki-karszton,Szabadon választható,,,,,,,,,,,,,,
621,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-KtudSZ,Környezettudományi SZV,Nincs megadva,,,,,2,,,TE-KtudSZ,Környezettudományi SZV,Szabadon választható,,,KtudSZ-00011,"EGH Komplex terepi vizsgálatok az Aggteleki-karszton (klíma, hidrológia, vegetáció)",2,,,KtudSZ-00011,"EGH Komplex terepi vizsgálatok az Aggteleki-karszton (klíma, hidrológia, vegetáció)",Szabadon választható,,,,,,,,,,,,,,
622,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-ISZV00,Informatika SZV,Nincs megadva,,,,,2,,,TE-ISZV00,Informatika SZV,Szabadon választható,,,ISZV00-00171,Válogatott fejezetek az op.kut.-ból,2,,,ISZV00-00171,Válogatott fejezetek az op.kut.-ból,Szabadon választható,,,,,,,,,,,,,,
623,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-XN0140,Lektorátusi nyelvórák TTIK szaknyelv kredites,Nincs megadva,,,,,2,,,TE-XN0141,Lektorátusi nyelvórák TTIK szaknyelv kredites,Szabadon választható,,,XN0141-02646,Angol idegenforgalmi szaknyelv B2 2. szint 2x2,4,,,XN0141-02646,Angol idegenforgalmi szaknyelv B2 2. szint 2x2,Szabadon választható,,,,,,,,,,,,,,
624,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-BSZV00,Biológia  SZV,Nincs megadva,,,,,2,,,TE-BSZV00,Biológia  SZV,Szabadon választható,,,BSZV00,Biológiai műhely XVII. szemeszter,2,,,BSZV00,Biológiai műhely XVII. szemeszter,Szabadon választható,,,,,,,,,,,,,,
625,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-BSZV00,Biológia  SZV,Nincs megadva,,,,,2,,,TE-BSZV00,Biológia  SZV,Szabadon választható,,,BSZV00-00264,Az agykéreg kutatás új eredményei szeminárium 4,2,,,BSZV00-00264,Az agykéreg kutatás új eredményei szeminárium 4,Szabadon választható,,,,,,,,,,,,,,
626,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-GSZV00,Földrajz SZV,Nincs megadva,,,,,2,,,TE-GSZV00,Földrajz SZV,Szabadon választható,,,GSZV00-00185,SZV - Az Aggteleki-karszt geomorfológiája,2,,,GSZV00-00185,SZV - Az Aggteleki-karszt geomorfológiája,Szabadon választható,,,,,,,,,,,,,,
627,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-GSZV00,Földrajz SZV,Nincs megadva,,,,,2,,,TE-GSZV00,Földrajz SZV,Szabadon választható,,,GSZV00-00427,A Kiskunság kulturális turizmusa,2,,,GSZV00-00427,A Kiskunság kulturális turizmusa,Szabadon választható,,,,,,,,,,,,,,
628,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-BSZV00,Biológia  SZV,Nincs megadva,,,,,2,,,TE-BSZV00,Biológia  SZV,Szabadon választható,,,BSZV00-00276,Fejlődésbiológia,2,,,BSZV00-00276,Fejlődésbiológia,Szabadon választható,,,,,,,,,,,,,,
629,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-XN0140,Lektorátusi nyelvórák TTIK szaknyelv kredites,Nincs megadva,,,,,2,,,TE-XN0141,Lektorátusi nyelvórák TTIK szaknyelv kredites,Szabadon választható,,,XN0141-00125,Angol lélektan szaknyelv 1. szint 1x2,2,,,XN0141-00125,Angol lélektan szaknyelv 1. szint 1x2,Szabadon választható,,,,,,,,,,,,,,
630,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-XN0140,Lektorátusi nyelvórák TTIK szaknyelv kredites,Nincs megadva,,,,,2,,,TE-XN0141,Lektorátusi nyelvórák TTIK szaknyelv kredites,Szabadon választható,,,XN0141-00124,"Angol műszaki szaknyelv B1, 2. szint 1x2",2,,,XN0141-00124,"Angol műszaki szaknyelv B1, 2. szint 1x2",Szabadon választható,,,,,,,,,,,,,,
631,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-BSZV00,Biológia  SZV,Nincs megadva,,,,,2,,,TE-BSZV00,Biológia  SZV,Szabadon választható,,,BSZV00-00145,A biostatisztika alkalmazása,2,,,BSZV00-00145,A biostatisztika alkalmazása,Szabadon választható,,,,,,,,,,,,,,
632,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-UNIV300,Szabadon választható BSc,Nincs megadva,,,,,2,,,TE-UNIV300,Szabadon választható BSc,Szabadon választható,,,UNIV300-00003,Az egészséges táplálkozás alapjai,2,,,UNIV300-00003,Az egészséges táplálkozás alapjai,Kötelezően választható,,,,,,,,,,,,,,
633,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-KSZV00,Kémia SZV,Nincs megadva,,,,,2,,,TE-KSZV00,Kémia SZV,Szabadon választható,,,KSZV0069,"Hulladékkezelés, hulladékgazdálkodás",2,,,KSZV0069,"Hulladékkezelés, hulladékgazdálkodás",Szabadon választható,,,,,,,,,,,,,,
634,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-XN0140,Lektorátusi nyelvórák TTIK szaknyelv kredites,Nincs megadva,,,,,2,,,TE-XN0141,Lektorátusi nyelvórák TTIK szaknyelv kredites,Szabadon választható,,,XN0141-00077,Angol informatikai szaknyelv alapfokú nyelvtudással 1. szint 1x2,2,,,XN0141-00077,Angol informatikai szaknyelv alapfokú nyelvtudással 1. szint 1x2,Szabadon választható,,,,,,,,,,,,,,
635,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-GSZV00,Földrajz SZV,Nincs megadva,,,,,2,,,TE-GSZV00,Földrajz SZV,Szabadon választható,,,GSZV00-00328,LEV Urbanizáció (k),2,,,GSZV00-00328,LEV Urbanizáció (k),Szabadon választható,,,,,,,,,,,,,,
636,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-KSZV00,Kémia SZV,Nincs megadva,,,,,2,,,TE-KSZV00,Kémia SZV,Szabadon választható,,,KSZV00-00045,Fémes elemek kémiája gyakorlat,2,,,KSZV00-00045,Fémes elemek kémiája gyakorlat,Szabadon választható,,,,,,,,,,,,,,
637,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-GSZV00,Földrajz SZV,Nincs megadva,,,,,2,,,TE-GSZV00,Földrajz SZV,Szabadon választható,,,GSZV00-00240,Kulturális örökségünk,2,,,GSZV00-00240,Kulturális örökségünk,Szabadon választható,,,,,,,,,,,,,,
638,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-XN0140,Lektorátusi nyelvórák TTIK szaknyelv kredites,Nincs megadva,,,,,2,,,TE-XN0141,Lektorátusi nyelvórák TTIK szaknyelv kredites,Szabadon választható,,,XN0141-02564,English for Economics (Oeconom) B2-C1 Oral Exam Preparation Level 1 2x2,4,,,XN0141-02564,English for Economics (Oeconom) B2-C1 Oral Exam Preparation Level 1 2x2,Szabadon választható,,,,,,,,,,,,,,
639,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-BSZV00,Biológia  SZV,Nincs megadva,,,,,2,,,TE-BSZV00,Biológia  SZV,Szabadon választható,,,BSZV00-00281,Az enterális idegrendszer szakirodalma 8,2,,,BSZV00-00281,Az enterális idegrendszer szakirodalma 8,Szabadon választható,,,,,,,,,,,,,,
640,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-KtudSZ,Környezettudományi SZV,Nincs megadva,,,,,2,,,TE-KtudSZ,Környezettudományi SZV,Szabadon választható,,,KtudSZ-00035,Nagyműszeres (külső) laboratóriumi gyakorlat,2,,,KtudSZ-00035,Nagyműszeres (külső) laboratóriumi gyakorlat,Szabadon választható,,,,,,,,,,,,,,
641,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-ISZV00,Informatika SZV,Nincs megadva,,,,,2,,,TE-ISZV00,Informatika SZV,Szabadon választható,,,ISZV00-00096,Mesterséges intelligencia II. gyak.,2,,,ISZV00-00096,Mesterséges intelligencia II. gyak.,Szabadon választható,,,,,,,,,,,,,,
642,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-GSZV00,Földrajz SZV,Nincs megadva,,,,,2,,,TE-GSZV00,Földrajz SZV,Szabadon választható,,,GSZV00-00023,SZV-Európa nemzeti parkjai,2,,,GSZV00-00023,SZV-Európa nemzeti parkjai,Szabadon választható,,,,,,,,,,,,,,
643,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-BSZV00,Biológia  SZV,Nincs megadva,,,,,2,,,TE-BSZV00,Biológia  SZV,Szabadon választható,,,BSZV00-00252,Antropológia,2,,,BSZV00-00252,Antropológia,Szabadon választható,,,,,,,,,,,,,,
644,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-ISZV00,Informatika SZV,Nincs megadva,,,,,2,,,TE-ISZV00,Informatika SZV,Szabadon választható,,,ISZV00-00076,Programcsomagok,2,,,ISZV00-00076,Programcsomagok,Szabadon választható,,,,,,,,,,,,,,
645,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-XN0140,Lektorátusi nyelvórák TTIK szaknyelv kredites,Nincs megadva,,,,,2,,,TE-XN0141,Lektorátusi nyelvórák TTIK szaknyelv kredites,Szabadon választható,,,XN0141-00030,Angol földrajz szaknyelv 1. szint 1x2,2,,,XN0141-00030,Angol földrajz szaknyelv 1. szint 1x2,Szabadon választható,,,,,,,,,,,,,,
646,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-XN0140,Lektorátusi nyelvórák TTIK szaknyelv kredites,Nincs megadva,,,,,2,,,TE-XN0141,Lektorátusi nyelvórák TTIK szaknyelv kredites,Szabadon választható,,,XN0141-02662,Angol gazdasági szaknyelv C1 1. szint 2x2,4,,,XN0141-02662,Angol gazdasági szaknyelv C1 1. szint 2x2,Szabadon választható,,,,,,,,,,,,,,
647,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-KtudSZ,Környezettudományi SZV,Nincs megadva,,,,,2,,,TE-KtudSZ,Környezettudományi SZV,Szabadon választható,,,KtudSZ-00004,EGH Karsztforrások vizsgálata a Mecsekben,2,,,KtudSZ-00004,EGH Karsztforrások vizsgálata a Mecsekben,Szabadon választható,,,,,,,,,,,,,,
648,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-GSZV00,Földrajz SZV,Nincs megadva,,,,,2,,,TE-GSZV00,Földrajz SZV,Szabadon választható,,,GSZV00-00272,Regionális természeti földrajz I. EA,2,,,GSZV00-00272,Regionális természeti földrajz I. EA,Szabadon választható,,,,,,,,,,,,,,
649,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-BSZV00,Biológia  SZV,Nincs megadva,,,,,2,,,TE-BSZV00,Biológia  SZV,Szabadon választható,,,BSZV00-00192,Állatrendszertan 2. gyak (lev.),2,,,BSZV00-00192,Állatrendszertan 2. gyak (lev.),Szabadon választható,,,,,,,,,,,,,,
650,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-GSZV00,Földrajz SZV,Nincs megadva,,,,,2,,,TE-GSZV00,Földrajz SZV,Szabadon választható,,,GSZV00-00287,SZV - A Tisza,2,,,GSZV00-00287,SZV - A Tisza,Szabadon választható,,,,,,,,,,,,,,
651,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-BSZV00,Biológia  SZV,Nincs megadva,,,,,2,,,TE-BSZV00,Biológia  SZV,Szabadon választható,,,BSZV00-00140,Az agykéreg kutatás új eredményei szeminárium 2,2,,,BSZV00-00140,Az agykéreg kutatás új eredményei szeminárium 2,Szabadon választható,,,,,,,,,,,,,,
652,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-GSZV00,Földrajz SZV,Nincs megadva,,,,,2,,,TE-GSZV00,Földrajz SZV,Szabadon választható,,,GSZV00-00174,TEF Land issues in the age of globalisational,2,,,GSZV00-00174,TEF Land issues in the age of globalisational,Szabadon választható,,,,,,,,,,,,,,
653,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-XN0140,Lektorátusi nyelvórák TTIK szaknyelv kredites,Nincs megadva,,,,,2,,,TE-XN0141,Lektorátusi nyelvórák TTIK szaknyelv kredites,Szabadon választható,,,XN0141-00035,Német gazdasági szaknyelv B1 1. szint 2x2,4,,,XN0141-00035,Német gazdasági szaknyelv B1 1. szint 2x2,Szabadon választható,,,,,,,,,,,,,,
654,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-GSZV00,Földrajz SZV,Nincs megadva,,,,,2,,,TE-GSZV00,Földrajz SZV,Szabadon választható,,,GSZV00-00005,Regionális természeti földrajz I. - CSV,2,,,GSZV00-00005,Regionális természeti földrajz I. - CSV,Szabadon választható,,,,,,,,,,,,,,
655,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-BSZV00,Biológia  SZV,Nincs megadva,,,,,2,,,TE-BSZV00,Biológia  SZV,Szabadon választható,,,BSZV00-00048,környezetvédelem biológiai alapjai szeminárium,2,,,BSZV00-00048,környezetvédelem biológiai alapjai szeminárium,Szabadon választható,,,,,,,,,,,,,,
656,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-FSZV00,Fizika SZV,Nincs megadva,,,,,2,,,TE-FSZV00,Fizika SZV,Szabadon választható,,,FSZV00-00215,Lineáris algebra fizikusoknak gyak.,2,,,FSZV00-00215,Lineáris algebra fizikusoknak gyak.,Szabadon választható,,,,,,,,,,,,,,
657,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-KSZV00,Kémia SZV,Nincs megadva,,,,,2,,,TE-KSZV00,Kémia SZV,Szabadon választható,,,KSZV00-00028,Radiokémia biológusoknak,2,,,KSZV00-00028,Radiokémia biológusoknak,Szabadon választható,,,,,,,,,,,,,,
658,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-XN0140,Lektorátusi nyelvórák TTIK szaknyelv kredites,Nincs megadva,,,,,2,,,TE-XN0141,Lektorátusi nyelvórák TTIK szaknyelv kredites,Szabadon választható,,,XN0141-00002,Német gazdasági szaknyelv B1 2. szint 1x2,2,,,XN0141-00002,Német gazdasági szaknyelv B1 2. szint 1x2,Szabadon választható,,,,,,,,,,,,,,
659,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-KtudSZ,Környezettudományi SZV,Nincs megadva,,,,,2,,,TE-KtudSZ,Környezettudományi SZV,Szabadon választható,,,KtudSZ-00017,TEF Mecseki tanulmányút,2,,,KtudSZ-00017,TEF Mecseki tanulmányút,Szabadon választható,,,,,,,,,,,,,,
660,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-UNIV300,Szabadon választható BSc,Nincs megadva,,,,,2,,,TE-UNIV300,Szabadon választható BSc,Szabadon választható,,,UNIV300-00009,Az italok és az ivás kultúrtörténet,2,,,UNIV300-00009,Az italok és az ivás kultúrtörténet,Kötelezően választható,,,,,,,,,,,,,,
661,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-BSZV00,Biológia  SZV,Nincs megadva,,,,,2,,,TE-BSZV00,Biológia  SZV,Szabadon választható,,,BSZV00-00338,Nanorészecskék a sugárterápiában,2,,,BSZV00-00338,Nanorészecskék a sugárterápiában,Szabadon választható,,,,,,,,,,,,,,
662,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-GSZV00,Földrajz SZV,Nincs megadva,,,,,2,,,TE-GSZV00,Földrajz SZV,Szabadon választható,,,GSZV00-00202,Lakható bolygók az univerzumban II.,2,,,GSZV00-00202,Lakható bolygók az univerzumban II.,Szabadon választható,,,,,,,,,,,,,,
663,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-BSZV00,Biológia  SZV,Nincs megadva,,,,,2,,,TE-BSZV00,Biológia  SZV,Szabadon választható,,,BSZV00-00334,Palopatológia,2,,,BSZV00-00334,Palopatológia,Szabadon választható,,,,,,,,,,,,,,
664,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-XN0140,Lektorátusi nyelvórák TTIK szaknyelv kredites,Nincs megadva,,,,,2,,,TE-XN0141,Lektorátusi nyelvórák TTIK szaknyelv kredites,Szabadon választható,,,XN0141-00133,Angol környezetvédelmi szaknyelv 2. szint (szennyezés) 1x2,2,,,XN0141-00133,Angol környezetvédelmi szaknyelv 2. szint (szennyezés) 1x2,Szabadon választható,,,,,,,,,,,,,,
665,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-KSZV00,Kémia SZV,Nincs megadva,,,,,2,,,TE-KSZV00,Kémia SZV,Szabadon választható,,,KSZV00-00035,Molekuláris statisztika gyakorlat,2,,,KSZV00-00035,Molekuláris statisztika gyakorlat,Szabadon választható,,,,,,,,,,,,,,
666,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-BSZV00,Biológia  SZV,Nincs megadva,,,,,2,,,TE-BSZV00,Biológia  SZV,Szabadon választható,,,BSZV00-00206,Ornithology,2,,,BSZV00-00206,Ornithology,Szabadon választható,,,,,,,,,,,,,,
667,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-MSZV00,Matematika SZV,Nincs megadva,,,,,2,,,TE-MSZV00,Matematika  SZV,Szabadon választható,,,MSZV00-00161,Eötvös-esték III. évad I.,2,,,MSZV00-00161,Eötvös-esték III. évad I.,Szabadon választható,,,,,,,,,,,,,,
668,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-ISZV00,Informatika SZV,Nincs megadva,,,,,2,,,TE-ISZV00,Informatika SZV,Szabadon választható,,,ISZV00-00037,Kombinatórikus optimalizálás,2,,,ISZV00-00037,Kombinatórikus optimalizálás,Szabadon választható,,,,,,,,,,,,,,
669,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-XN0140,Lektorátusi nyelvórák TTIK szaknyelv kredites,Nincs megadva,,,,,2,,,TE-XN0141,Lektorátusi nyelvórák TTIK szaknyelv kredites,Szabadon választható,,,XN0141-00121,Német média szaknyelv 2. szint 1x2,2,,,XN0141-00121,Német média szaknyelv 2. szint 1x2,Szabadon választható,,,,,,,,,,,,,,
670,,,10,,,MK-SZV,Szabadon választott,Szabadon választható,,,,,0,,,TT-BSZV00,Biológia  SZV,Nincs megadva,,,,,2,,,TE-BSZV00,Biológia  SZV,Szabadon választható,,,BSZV00-00120,Agykéreg kutatás új módszereii szeminárium,2,,,BSZV00-00120,Agykéreg kutatás új módszereii szeminárium,Szabadon választható,,,,,,,,,,,,,,
